tx_datetime;type;requests
06.01.2018 19:00;variance;31008
06.01.2018 20:00;variance;31575
06.01.2018 21:00;variance;33027
06.01.2018 22:00;variance;34840
06.01.2018 23:00;variance;36178
01.01.2018 0:00;point;1081
01.01.2018 1:00;point;1618
01.01.2018 2:00;point;1812
01.01.2018 3:00;point;2187
01.01.2018 4:00;point;3110
01.01.2018 5:00;point;3432
01.01.2018 6:00;point;3940
01.01.2018 7:00;point;4420
01.01.2018 8:00;point;5345
01.01.2018 9:00;point;3045
01.01.2018 10:00;point;4178
01.01.2018 11:00;point;5339
01.01.2018 12:00;point;8658
01.01.2018 13:00;point;6300
01.01.2018 14:00;point;2975
01.01.2018 15:00;point;2692
01.01.2018 16:00;point;2239
01.01.2018 17:00;point;1443
01.01.2018 18:00;point;1253
01.01.2018 19:00;point;748
01.01.2018 20:00;point;1180
01.01.2018 21:00;point;612
01.01.2018 22:00;point;1044
01.01.2018 23:00;point;1375
02.01.2018 0:00;point;1115
02.01.2018 1:00;point;1394
02.01.2018 2:00;point;2177
02.01.2018 3:00;point;2306
02.01.2018 4:00;point;5110
02.01.2018 5:00;point;4812
02.01.2018 6:00;point;7359
02.01.2018 7:00;point;5334
02.01.2018 8:00;point;10475
02.01.2018 9:00;point;6491
02.01.2018 10:00;point;4815
02.01.2018 11:00;point;8527
02.01.2018 12:00;point;26077
02.01.2018 13:00;point;63284
02.01.2018 14:00;point;42243
02.01.2018 15:00;point;8541
02.01.2018 16:00;point;3401
02.01.2018 17:00;point;2178
02.01.2018 18:00;point;1640
02.01.2018 19:00;point;886
02.01.2018 20:00;point;734
02.01.2018 21:00;point;895
02.01.2018 22:00;point;1688
02.01.2018 23:00;point;3007
